판매중,챗봇ID,챗봇,콘텐츠 타입,스킬ID,스킬,주제,topic,intents,temporal,웹 정상가,웹 판매가,앱 정상가,앱 판매가,앱 정상가(하트 가격),앱 판매가(하트 가격),판매종료 여부,출시일,ARPPU,인당 구매 횟수,건당 구매 금액,진입 사용자수,구매횟수,구매자수,구매 전환율,매출,앱 매출,웹 매출,판매일수,평균 일 거래액,앱 판매일수,앱 평균 일 거래액,웹 판매일수,웹 평균 일 거래액,앱 노출여부,웹 노출여부
,52,판밍밍,사주,27178,내 사주의 배우자 궁에 있는 사람은?,연애,연애,-,-,27000,22800,27000,22800,180,152,FALSE,2023. 4. 21.,"₩17,012",1.07,"₩15,970","94,164","23,521","22,081",23%,"₩375,638,050","₩216,777,300","₩158,860,750",881,"₩357,751",837,"₩258,993",573,"₩277,244",노출,노출
,52,판밍밍,사주,25297,사주로 보는 그 사람의 속마음,연애,연애,속마음,-,18000,17250,18000,17250,120,115,FALSE,2023. 1. 10.,"₩19,446",1.35,"₩14,454","33,883","19,433","14,444",43%,"₩280,879,060","₩215,871,150","₩65,007,910","1,184","₩237,229","1,184","₩182,324",938,"₩69,305",노출,노출
,52,판밍밍,사주,2418,사주로 보는 내 타고난 결혼운,결혼,결혼,결혼시기,-,18000,17400,18000,17400,120,116,FALSE,2021. 3. 1.,"₩11,928",1.15,"₩10,403","130,531","41,569","36,253",28%,"₩432,443,350","₩213,108,600","₩219,334,750","1,369","₩260,508","1,282","₩166,231",994,"₩220,659",노출,노출
,27,라마마,타로,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,이별/재회,연애,재회,-,18000,17250,18000,17250,120,115,FALSE,2023. 3. 9.,"₩18,803",1.14,"₩16,504","113,586","35,016","30,735",27%,"₩577,912,862","₩206,127,300","₩371,785,562","1,126","₩513,244","1,126","₩183,062",979,"₩379,761",노출,노출
,6167,독산언니,사주,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,연애,-,-,18000,17250,18000,17250,120,115,FALSE,2024. 8. 12.,"₩17,724",1.06,"₩16,707","82,990","36,993","34,871",42%,"₩618,060,423","₩204,134,550","₩413,925,873",600,"₩1,024,976",596,"₩342,508",581,"₩712,437",노출,노출
,10127,"인연 사주의 대가, 비단할매",사주,49255,내 팔자에 새겨진 천년배필,연애,연애,새로운만남,-,21000,19500,21000,19500,140,130,FALSE,2025. 4. 25.,"₩20,075",1.07,"₩18,780","48,156","35,240","32,967",68%,"₩661,807,575","₩195,733,650","₩466,073,925",344,"₩1,923,859",342,"₩572,321",344,"₩1,354,866",노출,노출
,27,라마마,타로,21734,그 사람 속마음 [심화],연애,연애,속마음,-,18000,17400,18000,17400,120,116,FALSE,2022. 6. 27.,"₩17,338",1.51,"₩11,461","34,527","19,679","13,008",38%,"₩225,532,100","₩177,420,450","₩48,111,650","1,357","₩164,262","1,324","₩134,003",912,"₩52,754",노출,노출
,52,판밍밍,사주,24509,내 사주의 연애와 결혼: 운명의 두 사람,연애,연애,-,-,18000,17400,18000,17400,120,116,FALSE,2022. 12. 12.,"₩12,577",1.09,"₩11,580","66,455","24,700","22,741",34%,"₩286,020,290","₩173,519,250","₩112,501,040","1,025","₩237,558",983,"₩176,520",739,"₩152,234",노출,노출
,27,라마마,타로,16426,좋아하는 그 사람의 속마음은?,연애,연애,속마음,-,10500,9000,10500,9000,70,60,FALSE,2021. 3. 1.,"₩10,411",1.94,"₩5,356","92,988","34,592","17,795",19%,"₩185,262,850","₩164,949,000","₩20,313,850","1,857","₩99,390","1,854","₩88,969","1,164","₩17,452",노출,노출
,52,판밍밍,사주,22690,일생 풀이: 천운과 타고난 복(福),팔자,일반운세,-,-,21000,19500,21000,19500,140,130,FALSE,2022. 8. 25.,"₩13,122",1.11,"₩11,830","78,789","25,354","22,857",29%,"₩299,934,850","₩164,676,600","₩135,258,250",949,"₩263,101",892,"₩184,615",717,"₩188,645",노출,노출
,-,-,-,-,-,-,-,-,-,,,,,,,,-,"₩22,310",1.24,"₩17,996",0,"11,818","9,533",-,"₩212,677,900","₩162,677,250","₩50,000,650","1,175","₩110,597","1,074","₩151,469",643,"₩77,762",,
,27,라마마,타로,18270,그 사람 아직 나한테 미련 있을까?,이별/재회,연애,재회,-,10500,9000,10500,9000,70,60,FALSE,2021. 3. 1.,"₩10,530",1.78,"₩5,907","50,551","34,011","19,079",38%,"₩200,898,150","₩156,361,050","₩44,537,100","1,864","₩107,778","1,862","₩83,975","1,201","₩37,083",노출,노출
