age_group,menu_seq,menu_name,topic,content_type,buyers,revenue_krw,price_amount,open_date,is_open,is_stop_selling
26-35,26893,내 사주의 찐성격과 이상형은?,일반운세,사주,181,277650.0,4500,2023-04-13 16:00:00+00,true,false
26-35,19002,이별리셋 패키지: 전애인 후폭풍 + 재회운,연애,타로,179,3079200.0,18000,,true,false
26-35,2251,소개팅 상대 어떤 사람일까?,연애,타로,179,156000.0,1500,,true,false
26-35,2465,사주로 보는 내 전성기,일반운세,사주,179,739350.0,9000,,true,false
26-35,40708,"이별, 그 후… 너와 나의 속마음",연애,타로,178,3441300.0,19500,2024-05-09 16:00:00+00,true,false
26-35,58132,대운 풀이: 반드시 찾아올 3번의 기회,총운,사주,176,2931300.0,19500,2026-01-01 15:00:00+00,true,false
26-35,25204,플러팅 타로: 내가 끌리는 VS 내게 끌리는 사람,일반운세,타로,173,3121200.0,18000,2023-01-04 15:00:00+00,true,false
26-35,2329,화 풀어주는 법,일반운세,타로,172,181200.0,1500,,true,false
26-35,44371,도화살로 보는 연애운 전성기,연애,사주,167,2860050.0,19500,2024-10-30 15:00:00+00,true,false
26-35,24008,절대 놓치면 안 될 결혼 상대와 시기는?,결혼,사주,166,3116850.0,21000,2022-11-02 15:00:00+00,true,false
26-35,18635,사주로 보는 대박 부업운,재물금전,사주,163,314850.0,4500,2020-07-22 10:30:00+00,true,false
26-35,30217,친구 VS 연인: 우리 둘 관계 어디까지?,연애,타로,161,2717700.0,18000,2023-06-21 15:00:00+00,true,false
26-35,42036,[CRM할인] D-DAY 타로: 솔로 탈출까지 며칠 남았을까?,연애,타로,160,2229450.0,16500,,false,false
26-35,44277,🪫질문권 추가 충전 (3개),기타,,160,500250.0,3000,,false,false
26-35,526,우리가 싸우는 이유,연애,타로,157,112200.0,1500,,true,false
26-35,20546,나에게 남은 연애 기회는?,연애,타로,157,2313900.0,15000,2022-04-05 15:00:00+00,true,false
26-35,2129,싸우지 않으려면,연애,타로,154,134100.0,1500,,true,false
26-35,18301,{{이름}}[[이의/의]] 11월 종합운,일반운세,타로,154,2417550.0,12000,,true,false
26-35,29757,그 사람 미리보기,연애,사주,152,1563450.0,21000,2023-06-09 05:14:14+00,true,false
26-35,56383,2026년 나에게 찾아올 12가지 행운,총운,타로,152,1493850.0,13500,2025-10-09 15:00:00+00,true,false
26-35,59122,OO년 주목! 팔자가 뒤바뀌는 돈복 타이밍,재물금전,사주,149,2536950.0,19500,2026-03-04 15:00:00+00,true,false
26-35,38993,사주로 보는 결혼 : 그 사람의 본심 👤,결혼,사주,149,3128400.0,21000,,true,false
26-35,42754,그 사람과 나의 재회 공식 3가지,연애,타로,149,2527650.0,17250,2024-08-01 05:00:00+00,true,false
26-35,19324,손금으로 보는 내 전생,자기탐구,사주,148,185400.0,3000,,false,false
26-35,20317,"(추천할인) 다음 연애 언제, 어디서 시작될까?",연애,타로,147,1580400.0,12000,,false,false
26-35,28729,내 운이 트이는 동네는?(서울편),일반운세,사주,144,2813700.0,24000,2023-05-25 23:25:30+00,true,false
26-35,47407,{{이름}}[[이의/의]] 결혼 궁합 현실판: 돈?💰 사랑?❤️,결혼,사주,142,2550600.0,18000,2025-02-12 15:00:00+00,true,false
26-35,2296,지금 하는 거...계속 할까 말까?,일반운세,타로,141,863100.0,1500,,true,false
26-35,36508,내 사주에 적힌 운명의 배우자,연애,사주,140,1902000.0,15000,2023-12-06 16:00:00+00,true,false
26-35,24175,도화살 풀이: 내 매력 언제 터질까?,연애,사주,140,2487150.0,18900,2022-11-10 15:00:00+00,true,false
26-35,27178,내 사주의 배우자 궁에 있는 사람은?,연애,사주,139,3062700.0,27000,2023-04-21 01:00:00+00,true,false
26-35,16849,직장 동료 왜 그럴까?,학업직업,타로,138,1637850.0,9000,2020-03-09 15:00:00+00,true,false
26-35,21140,(추천할인) 솔로 탈출 가능할까?,연애,타로,137,1159650.0,9000,,false,false
